application,installed_by
1Password,homebrew-cask
AeroSpace,homebrew-cask
Bitwarden,homebrew-cask
Brave Browser,homebrew-cask
Codex,homebrew-cask
Discord,homebrew-cask
Docker,homebrew-cask
Figma,homebrew-cask
Firefox,homebrew-cask
Ghostty,homebrew-cask
Google Chrome,homebrew-cask
LibreWolf,homebrew-cask
Maccy,homebrew-cask
Podman Desktop,homebrew-cask
Raycast,homebrew-cask
Rectangle,homebrew-cask
Shotcut,homebrew-cask
Spotify,homebrew-cask
Tor Browser,homebrew-cask
Visual Studio Code,homebrew-cask
balenaEtcher,homebrew-cask
draw.io,homebrew-cask
Affinity Designer 2,mac-app-store
Affinity Photo 2,mac-app-store
Affinity Publisher 2,mac-app-store
Amphetamine,mac-app-store
Compressor,mac-app-store
CrystalFetch,mac-app-store
Ease Fax,mac-app-store
Final Cut Pro,mac-app-store
Geekbench 5,mac-app-store
Logic Pro,mac-app-store
Motion,mac-app-store
Numbers Creator Studio,mac-app-store
UTM,mac-app-store
WireGuard,mac-app-store
Xcode,mac-app-store
Carbon Copy Cloner,direct-download
ChatGPT,direct-download
Claude,direct-download
HandBrake,direct-download
Helium,direct-download
LockedIn,direct-download
Microsoft Excel,direct-download
Microsoft PowerPoint,direct-download
Microsoft Teams,direct-download
Microsoft Word,direct-download
Mullvad VPN,direct-download
Octo Browser,direct-download
Omni,direct-download
OnVUE,direct-download
Osmind,direct-download
Parallels Desktop,direct-download
Parallels Toolbox,direct-download
Paseo,direct-download
PocketBook,direct-download
Raspberry Pi Imager,direct-download
Safeco Mobile,direct-download
Session,direct-download
Sidus Link,direct-download
Sports Alerts,direct-download
Stremio,direct-download
Telegram,direct-download
Trezor Suite,direct-download
VLC,direct-download
VMware Fusion,direct-download
VirtualBox,direct-download
VoiceInk,direct-download
Windsurf,direct-download
Zed,direct-download
ZoomLauncher,direct-download
daily.dev,direct-download
extFS for Mac,direct-download
iMazing,direct-download
logioptionsplus,direct-download
oMLX,direct-download
pCloud Drive,direct-download
pmodule,direct-download
superwhisper,direct-download
zoom.us,direct-download
